Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
SucSEED,2016.0,Hyderabad,Finance,Venture Partners,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal",1300000 ,Seed,,Hyderabad,India
Unacademy,2015.0,Bangaluru,EdTech,Unacademy is an Indian online education technology company,"Gaurav Munjal, ‎Roman Saini‎","Nexus Venture Partners, Sequoia Capital",150000000 ,Seed,,Bangaluru,India
Strata,2019.0,Bangaluru,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Lodha, Priyanka Rathore","Propstack, SAIF Partners",19067328,Seed,,Bangaluru,India
3one4 Capital,2016.0,Bangaluru,Venture capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,"Pranav Pai, Siddarth Pai",Undisclosed,100000000 ,Seed,,Bangaluru,India
WE-Hub,2018.0,Hyderabad,Entreprenurship,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,Deepthi Ravula,Undisclosed,,Seed,,Hyderabad,India
Zomato,2008.0,Haryana,Food devlivery,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",62000000 ,Seed,,Haryana,India
Vicara,2017.0,Bangaluru,Tech,A deep tech startup pioneering in motion-based interfaces and insights.,"Abhishek Satish, Adarsh Warrier",Undisclosed,,Seed,,Bangaluru,India
Gaana,2010.0,Gurugram,Entertainment,Gaana is a commercial music streaming service providing free and licensed music.,Pawan Agarwal,"Tencent Holdings, Times Internet",51000000 ,Seed,,Gurugram,India
EM3 Agri,2013.0,Noida,AgriTech,A pioneering organization in the farming-as-a service (FaaS) space,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund",1000000 ,Seed,,Noida,India
Plum,2013.0,Thane,Cosmetics,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",Shankar Prasad,"Ronald Conway, Bay Partners",115000 ,Seed,,Thane,India
Odwen,2018.0,Noida,Warehouse,India's first do-it-yourself warehouse management system.,Vijay Anand Bhagavatula,Prospect Partners.,54000 ,Seed,,Noida,India
Fasal,2018.0,Bangaluru,AgriTech,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI",20000 ,Seed,,Bangaluru,India
Trukky,2015.0,Ahmedabad,Logistics,"Transportation, logistics services & cargo services.","Saswat Sahu, Rishi Raj",Mumbai Angels.,,Seed,,Ahmedabad,India
BankBazaar,2008.0,Chennai,Online financial service,Check your latest Credit Score and get your Credit Report online in India for Free,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon",9000000 ,Seed,,Chennai,India
Specsmakers,2011.0,Chennai,Eyeglasses,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Pratik Shah,Eight Roads Ventures,3000000 ,Seed,,Chennai,India
Grinntech,2013.0,Dehradun,Battery design,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan",2000000 ,Seed,,Dehradun,India
CreditMantri,2012.0,Chennai,Online credit management,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146 ,Seed,,Chennai,India
Chai Waale,2018.0,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000 ,Seed,,Chennai,India
Deepsync,2018.0,Bangaluru,Tech,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,300000 ,Seed,,Bangaluru,India
Byju’s,2011.0,Bangaluru,EdTech,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management",500000000 ,Seed,,Bangaluru,India
ConnectedH,2016.0,Gurgaon,HealthCare,The company’s vision is simple – Connected Healthcare.,"Shubham Gupta, Suresh Singh",Undisclosed,,Seed,,Gurgaon,India
Reliance Retail,2006.0,Mumbai,E-commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Mukesh Ambani,Silver Lake Partners,10220000 ,Seed,,Mumbai,India
QShala,2014.0,Bangaluru,EdTech,A platform that helps kids learn about life skills,"Sachin Ravi, Raghav Chakravarthy",Undisclosed,300000 ,Seed,,Bangaluru,India
Pitstop,2015.0,Bangaluru,Car Service,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence",1020000 ,Seed,,Bangaluru,India
Zomato,2008.0,Haryana,Food devlivery,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",100000000 ,Seed,,Haryana,India
Customfit ai,2019.0,Bangaluru,SaaS,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed",Undisclosed,,Seed,,Bangaluru,India
Nirmata,2013.0,"San Francisco, United States",Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel",,Seed,,San Francisco, United States
Hire Me Car,2015.0,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,US based NRI Investors,,Seed,,Noida,India
Oga Fit,2017.0,Bangaluru,Fitness,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah",,Pre-Series A,,Bangaluru,India
ShipsKart,2018.0,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000 ,Pre-Series A,,New Delhi,India
SquadStack,2014.0,"San Francisco, United States",Tech,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures",5000000 ,Series A,,San Francisco, United States
Financepeer,2017.0,Mumbai,EdTech,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture",3000000 ,Pre-Series A,,Mumbai,India
Cashify,2009.0,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",10000000 ,Debt,,Gurugram,India
Etrio,2017.0,Hyderabad,EV,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,3000000 ,Series A,,Hyderabad,India
Codeyoung,2019.0,Bangaluru,EdTech,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,"Shailendra Dhakad, Rupika Taneja",Guild Capital,,Seed,,Bangaluru,India
StayQrious,2020.0,Bangaluru,EdTech,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.","Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,2000000 ,Seed,,Bangaluru,India
Sunstone Eduversity,2014.0,Gurugram,EdTech,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,"Ashish Munjal, Piyush Nangru",Prime Venture Partners,3000000 ,Series A,,Gurugram,India
Infilect,2015.0,Bangaluru,SaaS,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Anand Prabhu Subramanian, Vijay Gabale","Mela Ventures, 1Crowd",1500000 ,Pre-Series A,,Bangaluru,India
MobiGarage,2017.0,New Delhi,E-commerce,An ecommerce platform for refurbished electronics.,"Vaibhav Kapoor, Pulkit Kapoor",Undisclosed,,Pre-Series A,,New Delhi,India
Samunnati,2014.0,Chennai,AgriTech,Samunnati is a financial service provider focused on agri value chains.,Anil Kumar,"responsAbility, Accel",20000000 ,Debt,,Chennai,India
WeInnovate Biosolutions,2016.0,Pune,Startup laboratory,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures,,Seed,,Pune,India
Yummy Corp,2017.0,"Tangerang,  Indonesia",Food Industry,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",Mario Suntanu,"Palm Drive Capital, Amatil X Ventures",12000000 ,Series B,,Tangerang,  Indonesia
Smallcase,2015.0,Bangaluru,FinTech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures",13400000 ,Series B,,Bangaluru,India
Clairvolex,2006.0,"California, United States",Tech,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners",2000000 ,Debt,,California, United States
Assiduus,2015.0,Bangaluru,E-commerce,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",Somdutta Singh,VC Firm K Partners,1000000 ,Series A,,Bangaluru,India
Brinton,2014.0,"California, United States",HealthTech,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,Rahul Darda,"India Alternatives Private Equity Fund, Tata Capital",1300000 ,Debt,,California, United States
AFK Gaming,2012.0,Mumbai,Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,Nishant Patel,Undisclosed,200000 ,Pre-Series A,,Mumbai,India
Infarm,2013.0,Berlin,AgriTech,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,"Erez Galonska, Guy Galonska, Osnat Michaeli","Bonnier Ventures, Hanaco Venture Capital",170000000 ,Series C,,Berlin,India
Zuper,2016.0,"Seattle, United States",SaaS,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,Vijay Narasiman,"Gemba Capital, Gunderson Dettmer",1100000 ,Seed,,Seattle, United States
mCaffeine,2015.0,Mumbai,Personal care,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",2900000 ,Series B,,Mumbai,India
Origa,2013.0,Andheri,FinTech,The charioteer of your growth at all times.,Shrirang Tambe,"500 Startups, ah! Ventures",2000000 ,Debt,,Andheri,India
GullyBuy Software,2019.0,Pune,Tech,To deliver a solution that will provide shopping convenience to every consumer in India,Shirish Deodhar,Undisclosed,543000 ,Pre-Series A,,Pune,India
Recordent,2019.0,Hyderabad,FinTech,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Harish Mamtani,Undisclosed,,Seed,,Hyderabad,India
MPL,2018.0,Bangaluru,Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,"Shubham Malhotra, Sai Srinivas","Base Partners, GO Ventures",90000000 ,Series C,,Bangaluru,India
Penny,2020.0,Riyadh,SaaS,Offer various development solutions and mainly focus on helping startups,"Iyad Aldalooj, Majid Aldalooj, Mohammed Ibrahim",Undisclosed,1300000 ,Seed,,Riyadh,India
Onsitego,2010.0,Mumbai,Customer service,Onsitego is a customer service company for device and appliance repairs.,Kunal Mahipal,"Accel, Zodius Capital",30000000 ,Series B,,Mumbai,India
Precily,2017.0,"California, United States",SaaS  startup,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,Bharath Rao,"Windrose Capital, Anil Advani",,Seed,,California, United States
SmartClean,2017.0,"Singapore, Singapore",Tech,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,"Abhishek Mishra, Kush Agarwal, Lav Agarwal, Stella Hu","Seeds Capital, AIM Smart City",3400000 ,Pre-Series A,,Singapore, Singapore
ClanConnect,2015.0,Delhi,Marketing,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented","Kunal Kishore Sinha, Sagar Pushp",Undisclosed,600000 ,Seed,,Delhi,India
Servify,2015.0,Mumbai,Service industry,Servify is a self-learning platform that provides device management services and warranty solutions.,Sreevathsa Prabhakar,"Blume Ventures, Tetrao",23000000 ,Series C,,Mumbai,India
ShareChat,2015.0,Bangaluru,Social media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan","Lightspeed venture partners, saif partners",40000000 ,Pre-Series C,,Bangaluru,India
Rephrase.ai,2018.0,Bangaluru,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla","Techstars Bangalore Accelerator, Techstars",1500000 ,Seed,,Bangaluru,India
Melorra,2015.0,Bangaluru,Jewellery,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace","Saroja Yeramilli, R Krishnakumar","Shadows Holdings, Lightbox",8090000 ,Debt,,Bangaluru,India
FabHotels,2014.0,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",1030000 ,Series B,,Gurugram,India
EkAnek,2018.0,New Delhi,Tech,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,"Chandranshu Sinha, Kartik Sheth","Lightspeed India Partners, Sequoia Capital India",5040000 ,Edge,,New Delhi,India
Cub McPaws,2018.0,Mumbai,AR,Cub McPaws is a kids clothing brand.,"Shah, Abhay Bhat",Venture Catalysts,800000 ,Pre-Series A,,Mumbai,India
Zimyo,2018.0,Gurgaon,HR Tech,Employee experience platform that empowers organizations to manage and retain great talent!,"Ajay Kadyan, Kumar Mayank","Abhishant Pant, Chiranth Patil",1500000 ,Seed,,Gurgaon,India
PumPumPum,2018.0,Gurgaon,Automotive,Pumpumpum is a car rental company,"Tarun Lawadia, Sameer Kalra",Undisclosed,360000 ,Debt,,Gurgaon,India
Burgerama,2018.0,Gurgaon,Food,Burgerama is a unit of Junket Foods Private Limited,Kabir Bose,"Madison, Anicut",,Pre-Series A,,Gurgaon,India
Moms Co,2016.0,Gurgaon,HealthCare,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,"Malika Datt Sadani, Mohit Sadaani","DSG Consumer Partners, Saama Capital",8000000 ,Series B,,Gurgaon,India
DillyHub,2018.0,"Seoul, South-Korea",Publication,A service that promotes and facilitates the works of independent comic artists,Ji Cheol Ryu,"Kakao Ventures, Shinhan Capital",1400000 ,Seed,,Seoul, South-Korea
FPL Technologies,2019.0,Pune,FinTech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi","Matrix Partners India, Hummingbird Ventures",10000000 ,Series A,,Pune,India
FITTR,2016.0,Pune,Fitness,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,"Jitendra Chouksey, Sonal Singh, Jyoti Dabas, Bala Krishna Reddy, Rohit Chattopadhyay.",Surge,2000000 ,Pre-Series A,,Pune,India
Illumnus,2018.0,Pune,EdTech,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities","Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",23 High Networth Individuals (HNIs).,100000 ,Seed,,Pune,India
CashKaro,2012.0,Gurgaon,E-commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,"Rohan Bhargava, Swati Bhargava","Ratan Tata, Kalaari Capital",10000000 ,Series B,,Gurgaon,India
Newton School,2019.0,Bangaluru,EdTech,Newton School is a platform to learn and develop skills,"Nishant Chandra, Siddharth Maheshwari",Nexus Venture Partners,650000 ,Seed,,Bangaluru,India
